datetime,sym,price,size
2025.05.05D13:02:17.479692287,IBM,244.3,5
2025.05.05D13:02:17.479893791,IBM,244.3,45
2025.05.05D13:03:18.843581810,IBM,243.804,25
2025.05.05D13:03:21.401039758,IBM,243.9,75
2025.05.05D13:05:37.281123766,IBM,244.37,1
2025.05.05D13:10:22.709552785,IBM,244.45,1
2025.05.05D13:10:35.015942967,IBM,244.02,50
2025.05.05D13:10:41.597327587,IBM,244.02,50
2025.05.05D13:10:58.523143734,IBM,244.01,9
2025.05.05D13:10:58.523146785,IBM,243.9,1
2025.05.05D13:10:58.523150007,IBM,243.9,1
2025.05.05D13:10:58.523152994,IBM,243.86,100
2025.05.05D13:10:58.523152994,IBM,243.8,2
2025.05.05D13:10:58.523155723,IBM,243.8,1
2025.05.05D13:10:58.523176819,IBM,243.9,1
2025.05.05D13:10:58.523179862,IBM,243.86,100
2025.05.05D13:10:58.523185850,IBM,243.92,100
2025.05.05D13:10:58.523185850,IBM,243.9,25
2025.05.05D13:10:58.523221890,IBM,244,50
2025.05.05D13:10:58.523231100,IBM,243.9,10
2025.05.05D13:10:58.523231100,IBM,243.86,100
2025.05.05D13:10:58.523360516,IBM,244.01,9
2025.05.05D13:10:58.523363619,IBM,243.9,1
2025.05.05D13:10:58.523366341,IBM,243.86,100
2025.05.05D13:10:58.523369279,IBM,243.8,155
2025.05.05D13:10:58.523381311,IBM,243.92,2
2025.05.05D13:10:58.523850361,IBM,243.97,4
2025.05.05D13:10:58.523901837,IBM,243.92,98
2025.05.05D13:10:58.523904544,IBM,243.77,2
2025.05.05D13:10:58.523916573,IBM,243.77,598
2025.05.05D13:10:58.523925601,IBM,243.77,10
2025.05.05D13:10:58.524557049,IBM,243.71,157
2025.05.05D13:10:58.524560336,IBM,243.62,1
2025.05.05D13:10:58.524560336,IBM,243.61,2
2025.05.05D13:10:58.524572959,IBM,243.71,157
2025.05.05D13:10:58.524572959,IBM,243.52,1
2025.05.05D13:10:58.524581160,IBM,243.61,5
2025.05.05D13:10:58.524581160,IBM,243.5,1
2025.05.05D13:10:58.524809651,IBM,243.71,157
2025.05.05D13:10:58.525408175,IBM,243.5,3100
2025.05.05D13:10:58.540302586,IBM,243.4887,1
2025.05.05D13:11:03.544515715,IBM,243.05,2
2025.05.05D13:11:17.377190309,IBM,243.48,100
2025.05.05D13:11:17.377193961,IBM,243.48,9
2025.05.05D13:11:17.377193961,IBM,243.5,91
2025.05.05D13:11:17.377340624,IBM,243.44,6
2025.05.05D13:11:17.377476021,IBM,243.43,10
2025.05.05D13:11:17.377478926,IBM,243.5,190
2025.05.05D13:11:17.377614239,IBM,243.5,109
2025.05.05D13:11:17.377629268,IBM,243.5,109
2025.05.05D13:11:17.377641365,IBM,243.5,100
2025.05.05D13:11:17.377644428,IBM,243.5,10
2025.05.05D13:11:17.377890956,IBM,243.48,100
2025.05.05D13:11:17.377894024,IBM,243.5,100
2025.05.05D13:11:17.377996193,IBM,243.5,100
2025.05.05D13:11:22.086037043,IBM,243.5,50
2025.05.05D13:11:22.098964889,IBM,243.5,41
2025.05.05D13:11:22.098964889,IBM,243.5,9
2025.05.05D13:11:22.099764713,IBM,243.48,50
2025.05.05D13:11:26.329892659,IBM,243.5,6
2025.05.05D13:11:26.391422556,IBM,243.5,185
2025.05.05D13:11:26.391422556,IBM,243.5,115
2025.05.05D13:11:26.391810111,IBM,243.5,17
2025.05.05D13:11:27.833136169,IBM,243.5,100
2025.05.05D13:11:27.833139127,IBM,243.5,100
2025.05.05D13:11:28.161803821,IBM,243.5,200
2025.05.05D13:11:28.742408380,IBM,243.5,6
2025.05.05D13:11:28.983615789,IBM,243.5,140
2025.05.05D13:11:29.083122815,IBM,243.5,54
2025.05.05D13:11:29.083125651,IBM,243.5,151
2025.05.05D13:11:29.124356974,IBM,243.5,49
2025.05.05D13:11:29.124356974,IBM,243.5,91
2025.05.05D13:11:30.146439680,IBM,243.5,100
2025.05.05D13:11:30.852347058,IBM,243.5,9
2025.05.05D13:11:30.852349655,IBM,243.5,134
2025.05.05D13:11:32.151247590,IBM,243.5,1
2025.05.05D13:11:35.817093771,IBM,243.5,57
2025.05.05D13:11:44.101620066,IBM,243.49,20
2025.05.05D13:11:57.731185834,IBM,243.5,8
2025.05.05D13:11:57.731185834,IBM,243.5,92
2025.05.05D13:12:16.298586776,IBM,243.49,22
2025.05.05D13:12:16.298586776,IBM,243.5,28
2025.05.05D13:13:00.561570729,IBM,243.33,1
2025.05.05D13:13:05.970012386,IBM,243.3,20
